Run,Q1,Q2,Q3,D,NMR
1149,300.9,239.063,116.038,-1e+32,0.632141
1150,297.613,236.588,114.8,-1e+32,0.627767
1151,294.375,233.85,113.525,-1e+32,0.618408
1152,143.092,113.741,55.1993,-1e+32,0.300598
1153,288.125,229.008,111.138,-1e+32,0.605259
1154,284.979,226.495,109.92,-1e+32,0.598668
1157,282.113,224.263,108.813,-1e+32,0.592709
1158,208.484,165.873,80.5317,-1e+32,0.438669
1159,276.25,219.494,106.551,-1e+32,0.580391
1160,273.522,217.381,105.488,-1e+32,0.574607
1161,270.763,215.225,104.438,-1e+32,0.568854
1162,268.05,213.05,103.375,-1e+32,0.563093
1163,265.425,210.927,102.363,-1e+32,0.557604
1164,262.825,208.844,101.375,-1e+32,0.55215
1165,260.35,206.834,100.429,-1e+32,0.546939
1166,257.888,204.9,99.4876,-1e+32,0.541746
1167,255.425,202.997,98.5126,-1e+32,0.536502
1168,253.063,201.102,97.5761,-1e+32,0.53162
1169,250.731,199.238,96.6649,-1e+32,0.526742
1170,248.353,197.349,95.7682,-1e+32,0.521775
1171,246.145,195.546,94.8994,-1e+32,0.517125
