	Run	Q1	Q2	Q3	D	NMR	Pq1_set	Pq2_set	Pq3_set	Pnmr_set
0	1149	116.476	239.086	116.476	672.813	0.63213	0.8948312205528016	2.3090034342050685	2.30899721448468	2.3090000000000006
1	1150	115.22	236.494	115.22	672.813	0.62778	0.8851932134717649	2.283999228268524	2.2840074809494437	2.293106227106227
2	1151	113.963	233.902	113.963	672.813	0.61844	0.8755475375619638	2.25899502233198	2.2589978312773575	2.2590000000000003
3	1152	55.3993	113.697	55.3993	330.711	0.30062	0.42615483964535816	1.0994154134069052	1.093768660161411	1.098080291970803
4	1153	111.551	228.927	111.551	672.813	0.6053	0.8570388821105458	2.2110027782333135	2.211007918822125	2.211
5	1154	110.344	226.439	110.344	672.813	0.59873	0.8477768842370201	2.1870018232332002	2.1869930562463935	2.187
6	1157	108.083	221.774	108.083	672.813	0.58641	0.8304269435300076	2.142000048233217	2.1420074411571592	2.142
7	1158	80.8561	164.245	80.8561	503.326	0.43869	0.6214993968572117	1.5870359819800701	1.6002868572110744	1.6024102564102563
8	1159	106.977	219.493	106.977	672.813	0.58039	0.8219399699197347	2.1199959580563945	2.1200020691987826	2.12
9	1160	105.921	217.317	105.921	672.813	0.57328	0.8138366828579541	2.0990047751345724	2.0989915041782736	2.094025547445255
10	1161	104.866	215.14	104.866	672.813	0.56889	0.8057410641661168	2.078003945515232	2.078000815758058	2.078
11	1162	103.811	212.963	103.811	672.813	0.56314	0.7976454491739375	2.0570031158958924	2.0570101273378434	2.057
12	1163	102.805	210.889	102.805	672.813	0.55219	0.7899258346953967	2.0369958905298904	2.036994349495633	2.0170072992700727
13	1164	101.8	208.816	101.8	672.813	0.54833	0.7822138938127796	2.016998321467847	2.0169984679665736	2.002886861313869
14	1165	100.845	206.847	100.845	672.813	0.54452	0.7748856336039535	1.9980040033570319	1.9979973935535218	1.988996336996337
15	1166	99.8902	204.877	99.8902	672.813	0.54176	0.7675589107824434	1.9790000289402099	1.9790002725809437	1.9789087591240875
16	1167	98.9352	202.907	98.9352	672.813	0.53657	0.7602306507035899	1.9599960641694723	1.9599991683296756	1.959948717948718
17	1168	98.0306	201.041	98.0306	672.813	0.53103	0.7532891386721958	1.9419953503178569	1.9420008376409166	1.9397116788321165
18	1169	97.1259	199.176	97.1259	672.813	0.52673	0.7463468592835646	1.9240042927563352	1.9240005053700542	1.9240000000000004
19	1170	95.9526	196.361	95.9526	672.813	0.51715	0.7373434583562901	1.8968488756837059	1.900655966351109	1.889
20	1171	95.3668	195.547	95.3668	672.813	0.51715	0.7328482805455905	1.888996469328497	1.889000602863902	1.889
